Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,Status
dense,8,1,417420,0,9.79711,2117552,99,TIMEOUT
dense,8,8,385237,0,9.79805,75738300,479,TIMEOUT
dense,16,16,0,0,10,10126876,1379,TIMEOUT
dense,16,32,0,0,10,21580628,2167,TIMEOUT
dense,16,48,0,0,10,27150664,2059,TIMEOUT
dense,16,64,0,0,10,22254836,2241,TIMEOUT
dense,24,1,345725,0,10,4182284,99,TIMEOUT
dense,24,8,875,0,10,77602368,450,TIMEOUT
