Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,Status
sparse,8,1,1814541,0,29.8032,TIMEOUT
sparse,8,8,9685410,0,9685411,TIMEOUT
sparse,8,16,29.8489,TIMEOUT,,TIMEOUT
sparse,8,32,,,,TIMEOUT
sparse,8,48,31805,0,31805,TIMEOUT
sparse,8,64,29.7984,TIMEOUT,,TIMEOUT
sparse,16,1,0,0,29.8408,TIMEOUT
sparse,16,8,7168,0,29.8189,TIMEOUT
sparse,16,16,,,,TIMEOUT
sparse,16,32,2076,0,29.8201,TIMEOUT
sparse,16,48,1623,0,29.7966,TIMEOUT
sparse,16,64,573,0,29.7945,TIMEOUT
sparse,24,1,0,0,29.8202,TIMEOUT
sparse,24,8,,,,TIMEOUT
sparse,24,16,3919,0,29.815,TIMEOUT
sparse,24,32,,,,TIMEOUT
sparse,24,48,536,0,29.8191,TIMEOUT
sparse,24,64,69,0,29.7953,TIMEOUT
sparse,32,1,715,0,29.7914,TIMEOUT
sparse,32,8,2193,0,29.8243,TIMEOUT
sparse,32,16,180,0,29.7991,TIMEOUT
sparse,32,32,80,0,29.7866,TIMEOUT
sparse,32,48,691,0,29.7858,TIMEOUT
sparse,32,64,256,0,29.7871,TIMEOUT
dense,8,1,1434775,0,29.7877,TIMEOUT
dense,8,8,69321926932192,0,0,TIMEOUT
dense,8,16,97447,0,29.8236,TIMEOUT
dense,8,32,17092,0,29.7539,TIMEOUT
dense,8,48,11784,0,29.7894,TIMEOUT
dense,8,64,11699,0,29.7872,TIMEOUT
dense,16,1,0,0,29.7854,TIMEOUT
dense,16,8,29.8293,TIMEOUT,,TIMEOUT
dense,16,16,29.7971,TIMEOUT,,TIMEOUT
dense,16,32,,,,ERROR
dense,16,48,29.771,TIMEOUT,,TIMEOUT
dense,16,64,29.848,TIMEOUT,,TIMEOUT
dense,24,1,1355260,0,29.8505,TIMEOUT
dense,24,8,29.3537,TIMEOUT,,TIMEOUT
dense,24,16,11202,0,29.8195,TIMEOUT
dense,24,32,1367,0,29.7936,TIMEOUT
dense,24,48,,,,ERROR
dense,24,64,29.7523,TIMEOUT,,TIMEOUT
dense,32,1,0,0,29.7918,TIMEOUT
dense,32,8,0,0,0,TIMEOUT
dense,32,16,29.823,TIMEOUT,,TIMEOUT
dense,32,32,29.8212,TIMEOUT,,TIMEOUT
dense,32,48,29.8463,TIMEOUT,,TIMEOUT
dense,32,64,29.8444,TIMEOUT,,TIMEOUT
