Dataset,Type,Size,Threads,TimeLimit_s,Time_s,Count,Status,MaxMemory_KB,CPU_Percent
enron,sparse,8,1,10,10,0,OK,0,0
enron,sparse,8,4,10,10,0,OK,0,0
enron,sparse,8,8,10,10,0,OK,0,0
enron,sparse,8,16,10,10,0,OK,0,0
enron,sparse,8,32,10,10,0,OK,0,0
enron,sparse,8,48,10,10,0,OK,0,0
enron,sparse,8,64,10,10,0,OK,0,0
enron,sparse,16,1,10,10,0,OK,0,0
enron,sparse,16,4,10,10,0,OK,0,0
enron,sparse,16,8,10,10,0,OK,0,0
enron,sparse,16,16,10,10,0,OK,0,0
enron,sparse,16,32,10,10,0,OK,0,0
enron,sparse,16,48,10,10,0,OK,0,0
enron,sparse,16,64,10,10,0,OK,0,0
enron,sparse,24,1,10,10,0,OK,0,0
enron,sparse,24,4,10,10,0,OK,0,0
enron,sparse,24,8,10,10,0,OK,0,0
enron,sparse,24,16,10,10,0,OK,0,0
enron,sparse,24,32,10,10,0,OK,0,0
enron,sparse,24,48,10,10,0,OK,0,0
enron,sparse,24,64,10,10,0,OK,0,0
enron,sparse,32,1,10,10,0,OK,0,0
enron,sparse,32,4,10,10,0,OK,0,0
enron,sparse,32,8,10,10,0,OK,0,0
enron,sparse,32,16,10,10,0,OK,0,0
enron,sparse,32,32,10,10,0,OK,0,0
enron,sparse,32,48,10,10,0,OK,0,0
enron,sparse,32,64,10,10,0,OK,0,0
enron,dense,8,1,10,10,0,OK,0,0
enron,dense,8,4,10,10,0,OK,0,0
enron,dense,8,8,10,10,0,OK,0,0
enron,dense,8,16,10,10,0,OK,0,0
enron,dense,8,32,10,10,0,OK,0,0
enron,dense,8,48,10,10,0,OK,0,0
enron,dense,8,64,10,10,0,OK,0,0
enron,dense,16,1,10,10,0,OK,0,0
enron,dense,16,4,10,10,0,OK,0,0
enron,dense,16,8,10,10,0,OK,0,0
enron,dense,16,16,10,10,0,OK,0,0
enron,dense,16,32,10,10,0,OK,0,0
enron,dense,16,48,10,10,0,OK,0,0
enron,dense,16,64,10,10,0,OK,0,0
enron,dense,24,1,10,10,0,OK,0,0
enron,dense,24,4,10,10,0,OK,0,0
enron,dense,24,8,10,10,0,OK,0,0
enron,dense,24,16,10,10,0,OK,0,0
enron,dense,24,32,10,10,0,OK,0,0
enron,dense,24,48,10,10,0,OK,0,0
enron,dense,24,64,10,10,0,OK,0,0
enron,dense,32,1,10,10,0,OK,0,0
enron,dense,32,4,10,10,0,OK,0,0
enron,dense,32,8,10,10,0,OK,0,0
enron,dense,32,16,10,10,0,OK,0,0
enron,dense,32,32,10,10,0,OK,0,0
enron,dense,32,48,10,10,0,OK,0,0
enron,dense,32,64,10,10,0,OK,0,0
