Query,Target,Threads,Solutions,FirstTime_s,TotalTime_s,Status
bvg1,1,8,2.37296e-05,5.25442e-05,OK
bvg1_2,1,0,-1.76334e+09,1.89282e-08,OK
bvg1_3,1,0,-1.76334e+09,1.97065e-08,OK
bvg1_4,1,0,-1.76334e+09,1.57666e-08,OK
bvg2,1,1,5.90591e-05,6.13744e-05,OK
bvg3,1,25,4.44236e-05,0.000286285,OK
m2d1,1,5,4.30501e-05,0.000133726,OK
m2d2,1,1,1.62985e-05,1.87318e-05,OK
rand1,1,3,4.08168e-05,4.81655e-05,OK
rand2,1,5,1.4936e-05,2.14019e-05,OK
rand3,1,36,6.28328e-05,0.000159536,OK
rand4,1,1,1.07862,1.72058,OK
rnd_ldg1,1,0,0,28.8811,OK
si2_b03_m400_37,1,1,0.000322586,0.00048429,OK
si2_b03m_m800_22,1,23165116,0,29.9878,OK
si2_b06m_m400_96,1,10080,0.000112271,0.0143914,OK
si2_b09m_m400_01,1,0,-1.76334e+09,1.75709e-08,OK
si2_rnd_eta04_m1000_00,1,0,0,29.855,OK
si2_rnd_eta04_m750_20,1,0,0,29.8833,OK
bvg1,2,8,4.38903e-05,7.32622e-05,OK
bvg1_2,2,0,-1.76334e+09,1.83279e-08,OK
bvg1_3,2,0,-1.76334e+09,1.97491e-08,OK
bvg1_4,2,0,-1.76334e+09,1.62e-08,OK
bvg2,2,1,2.83043e-05,6.67722e-05,OK
bvg3,2,25,7.36061e-05,0.000357797,OK
m2d1,2,5,7.13577e-05,0.000140873,OK
m2d2,2,1,2.38897e-05,2.9292e-05,OK
rand1,2,3,4.24774e-05,9.29986e-05,OK
rand2,2,5,2.78307e-05,4.21412e-05,OK
rand3,2,36,4.60525e-05,0.000252237,OK
rand4,2,1,0.536061,0.848857,OK
rnd_ldg1,2,TIMEOUT,,,OK
si2_b03_m400_37,2,1,0.000362745,0.000449558,OK
si2_b03m_m800_22,2,29.988,TIMEOUT,,OK
si2_b06m_m400_96,2,10080,0.000144429,0.029315,OK
si2_b09m_m400_01,2,0,-1.76334e+09,1.90654e-08,OK
si2_rnd_eta04_m1000_00,2,29.8022,TIMEOUT,,OK
si2_rnd_eta04_m750_20,2,TIMEOUT,,,OK
bvg1,4,8,3.36693e-05,7.03091e-05,OK
bvg1_2,4,0,-1.76334e+09,1.62855e-08,OK
bvg1_3,4,0,-1.76334e+09,1.74566e-08,OK
bvg1_4,4,0,-1.76334e+09,1.63586e-08,OK
bvg2,4,1,3.09776e-05,0.000102333,OK
bvg3,4,25,7.61393e-05,0.000380647,OK
m2d1,4,5,5.52119e-05,0.00016095,OK
m2d2,4,1,3.45003e-05,4.62114e-05,OK
rand1,4,3,3.41512e-05,8.78998e-05,OK
rand2,4,5,2.41538e-05,3.99513e-05,OK
rand3,4,36,4.73412e-05,0.000235821,OK
rand4,4,1,0.314987,0.491844,OK
rnd_ldg1,4,TIMEOUT,,,OK
si2_b03_m400_37,4,1,0.000244338,0.000435669,OK
si2_b03m_m800_22,4,29.9885,TIMEOUT,,OK
si2_b06m_m400_96,4,10080,0.000263735,0.0300772,OK
si2_b09m_m400_01,4,0,-1.76334e+09,1.76312e-08,OK
si2_rnd_eta04_m1000_00,4,TIMEOUT,,,OK
si2_rnd_eta04_m750_20,4,TIMEOUT,,,OK
bvg1,8,8,6.25434e-05,0.000141283,OK
bvg1_2,8,0,-1.76334e+09,1.91391e-08,OK
bvg1_3,8,0,-1.76334e+09,1.98778e-08,OK
bvg1_4,8,0,-1.76334e+09,1.63435e-08,OK
bvg2,8,1,8.2314e-05,0.00042717,OK
bvg3,8,25,0.00010962,0.000668602,OK
m2d1,8,5,0.000144398,0.000375923,OK
m2d2,8,1,0.00012151,0.000145256,OK
rand1,8,3,7.6187e-05,0.000200896,OK
rand2,8,5,6.69712e-05,0.000112835,OK
rand3,8,36,7.46391e-05,0.000384322,OK
rand4,8,1,0.209872,0.322299,OK
rnd_ldg1,8,1,14.6745,17.0705,OK
si2_b03_m400_37,8,1,0.000503799,0.000934596,OK
si2_b03m_m800_22,8,TIMEOUT,,,OK
si2_b06m_m400_96,8,10080,0.000278312,0.0313676,OK
si2_b09m_m400_01,8,0,-1.76334e+09,1.73377e-08,OK
si2_rnd_eta04_m1000_00,8,TIMEOUT,,,OK
si2_rnd_eta04_m750_20,8,TIMEOUT,,,OK
