Dataset,Type,Size,Threads,TimeLimit_s,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
roadNet,sparse,8,1,10,0,0,10,4260,83,3,256,TIMEOUT
roadNet,sparse,8,8,10,0,0,10,4160,80,3,256,TIMEOUT
roadNet,sparse,8,16,10,0,0,10,4152,80,3,252,TIMEOUT
roadNet,sparse,8,32,10,0,0,10,4168,100,3,256,TIMEOUT
roadNet,sparse,8,48,10,0,0,10,4196,100,3,257,TIMEOUT
roadNet,sparse,8,64,10,0,0,10,4180,100,3,258,TIMEOUT
roadNet,sparse,16,1,10,0,0,10,4168,100,3,256,TIMEOUT
roadNet,sparse,16,8,10,0,0,10,4152,100,3,251,TIMEOUT
roadNet,sparse,16,16,10,0,0,10,4148,80,3,256,TIMEOUT
roadNet,sparse,16,32,10,0,0,10,4148,100,3,256,TIMEOUT
roadNet,sparse,16,48,10,0,0,10,4200,80,3,253,TIMEOUT
roadNet,sparse,16,64,10,0,0,10,4068,80,3,255,TIMEOUT
roadNet,sparse,24,1,10,0,0,10,4140,80,3,255,TIMEOUT
roadNet,sparse,24,8,10,0,0,10,4152,80,3,254,TIMEOUT
roadNet,sparse,24,16,10,0,0,10,4168,80,3,258,TIMEOUT
roadNet,sparse,24,32,10,0,0,10,4148,100,3,257,TIMEOUT
roadNet,sparse,24,48,10,0,0,10,4180,80,3,254,TIMEOUT
roadNet,sparse,24,64,10,0,0,10,4152,80,3,252,TIMEOUT
roadNet,sparse,32,1,10,0,0,10,4244,80,3,259,TIMEOUT
roadNet,sparse,32,8,10,0,0,10,4068,100,3,257,TIMEOUT
roadNet,sparse,32,16,10,0,0,10,4168,80,3,255,TIMEOUT
roadNet,sparse,32,32,10,0,0,10,4148,100,3,253,TIMEOUT
roadNet,sparse,32,48,10,0,0,10,4140,100,3,259,TIMEOUT
roadNet,sparse,32,64,10,0,0,10,4172,100,3,256,TIMEOUT
roadNet,dense,8,1,10,0,0,10,4148,80,3,257,TIMEOUT
roadNet,dense,8,8,10,0,0,10,4156,100,3,256,TIMEOUT
roadNet,dense,8,16,10,0,0,10,4232,100,3,253,TIMEOUT
roadNet,dense,8,32,10,0,0,10,4184,100,3,253,TIMEOUT
roadNet,dense,8,48,10,0,0,10,4228,80,3,256,TIMEOUT
roadNet,dense,8,64,10,0,0,10,4260,66,3,254,TIMEOUT
roadNet,dense,16,1,10,0,0,10,4156,100,3,256,TIMEOUT
roadNet,dense,16,8,10,0,0,10,4148,80,3,256,TIMEOUT
roadNet,dense,16,16,10,0,0,10,4196,80,3,255,TIMEOUT
roadNet,dense,16,32,10,0,0,10,4148,100,3,255,TIMEOUT
roadNet,dense,16,48,10,0,0,10,4176,80,3,257,TIMEOUT
roadNet,dense,16,64,10,0,0,10,4068,80,3,255,TIMEOUT
roadNet,dense,24,1,10,0,0,10,4148,80,3,253,TIMEOUT
roadNet,dense,24,8,10,0,0,10,4232,100,3,256,TIMEOUT
roadNet,dense,24,16,10,0,0,10,4128,100,3,260,TIMEOUT
roadNet,dense,24,32,10,0,0,10,4152,100,3,257,TIMEOUT
roadNet,dense,24,48,10,0,0,10,4060,100,3,256,TIMEOUT
roadNet,dense,24,64,10,0,0,10,4240,100,3,258,TIMEOUT
roadNet,dense,32,1,10,0,0,10,4112,80,3,254,TIMEOUT
roadNet,dense,32,8,10,0,0,10,4228,100,3,257,TIMEOUT
roadNet,dense,32,16,10,0,0,10,4168,80,3,255,TIMEOUT
roadNet,dense,32,32,10,0,0,10,4144,80,3,256,TIMEOUT
roadNet,dense,32,48,10,0,0,10,4116,80,3,255,TIMEOUT
roadNet,dense,32,64,10,0,0,10,4152,100,3,253,TIMEOUT
