Type,Size,Threads,Solutions,Time_s,Status
dense,8,1,1374867,30,TIMEOUT
dense,8,8,81508758150897,30,TIMEOUT
dense,8,16,141509,30,TIMEOUT
dense,8,32,28325,30,TIMEOUT
dense,8,48,13243,30,TIMEOUT
dense,8,64,PARSE_ERROR,30,TIMEOUT
dense,16,1,0,30,TIMEOUT
dense,16,8,0,30,TIMEOUT
dense,16,16,0,30,TIMEOUT
dense,16,32,0,30,TIMEOUT
dense,16,48,0,30,TIMEOUT
dense,16,64,00,30,TIMEOUT
