Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,Status
dense,8,1,409539,0,9.78922,2117560,99,TIMEOUT
dense,8,8,147952,0,147952,82168256,464,TIMEOUT
dense,8,16,6603,0,9.82453,26420020,791,TIMEOUT
dense,8,32,34863486,0,0,26530296,1292,TIMEOUT
dense,8,48,4925,0,9.72691,24363100,1691,TIMEOUT
dense,8,64,3269,0,9.76264,21559044,2014,TIMEOUT
dense,16,1,0,0,9.78946,697288,99,TIMEOUT
dense,16,8,0,0,0,2727256,767,TIMEOUT
