Query,Target,Threads,Solutions,FirstTime_s,TotalTime_s,Status
bvg1,1,8,2.35143e-05,5.20917e-05,OK
bvg1_2,1,0,-1.76338e+09,1.91814e-08,OK
bvg1_3,1,0,-1.76338e+09,1.95979e-08,OK
bvg1_4,1,0,-1.76338e+09,1.62537e-08,OK
bvg2,1,1,5.8624e-05,6.08954e-05,OK
bvg3,1,25,5.46879e-05,0.000351968,OK
m2d1,1,5,4.32328e-05,0.000134352,OK
m2d2,1,1,1.63287e-05,1.87581e-05,OK
rand1,1,3,4.09251e-05,4.82851e-05,OK
rand2,1,5,1.51682e-05,2.17535e-05,OK
rand3,1,36,6.26885e-05,0.000159039,OK
rand4,1,1,1.06658,1.70333,OK
rnd_ldg1,1,0,0,28.8164,OK
si2_b03_m400_37,1,1,0.000259541,0.00039025,OK
si2_b03m_m800_22,1,22799350,0,29.991,OK
si2_b06m_m400_96,1,10080,0.000108829,0.0143043,OK
si2_b09m_m400_01,1,0,-1.76338e+09,1.74201e-08,OK
si2_rnd_eta04_m1000_00,1,0,0,29.8083,OK
si2_rnd_eta04_m750_20,1,0,0,29.8895,OK
bvg1,2,8,3.94158e-05,6.53175e-05,OK
bvg1_2,2,0,-1.76338e+09,1.8571e-08,OK
bvg1_3,2,0,-1.76338e+09,1.96541e-08,OK
bvg1_4,2,0,-1.76338e+09,1.93103e-08,OK
bvg2,2,1,2.59043e-05,6.12318e-05,OK
bvg3,2,25,7.41232e-05,0.000357171,OK
m2d1,2,5,7.242e-05,0.00014311,OK
m2d2,2,1,1.9586e-05,2.41273e-05,OK
rand1,2,3,2.42273e-05,5.99389e-05,OK
rand2,2,5,1.96967e-05,2.89068e-05,OK
rand3,2,36,3.20622e-05,0.000165115,OK
rand4,2,1,0.672452,1.07171,OK
rnd_ldg1,2,28.8785,TIMEOUT,,OK
si2_b03_m400_37,2,1,0.000429821,0.000535131,OK
si2_b03m_m800_22,2,29.9906,TIMEOUT,,OK
si2_b06m_m400_96,2,10080,0.000149588,0.0296143,OK
si2_b09m_m400_01,2,0,-1.76338e+09,1.9207e-08,OK
si2_rnd_eta04_m1000_00,2,TIMEOUT,,,OK
si2_rnd_eta04_m750_20,2,29.8856,TIMEOUT,,OK
bvg1,4,8,3.32976e-05,7.01009e-05,OK
bvg1_2,4,0,-1.76338e+09,1.6271e-08,OK
bvg1_3,4,0,-1.76338e+09,1.75135e-08,OK
bvg1_4,4,0,-1.76338e+09,1.91205e-08,OK
bvg2,4,1,2.6239e-05,8.53265e-05,OK
bvg3,4,25,9.43751e-05,0.000437816,OK
m2d1,4,5,5.20918e-05,0.000157123,OK
m2d2,4,1,3.54122e-05,4.74254e-05,OK
rand1,4,3,3.39312e-05,8.64123e-05,OK
rand2,4,5,2.50736e-05,4.09127e-05,OK
rand3,4,36,3.75523e-05,0.000186785,OK
rand4,4,1,0.30835,0.491045,OK
rnd_ldg1,4,TIMEOUT,,,OK
si2_b03_m400_37,4,1,0.00026582,0.000475457,OK
si2_b03m_m800_22,4,TIMEOUT,,,OK
si2_b06m_m400_96,4,10080,0.000135303,0.030576,OK
si2_b09m_m400_01,4,0,-1.76338e+09,1.72954e-08,OK
si2_rnd_eta04_m1000_00,4,TIMEOUT,,,OK
si2_rnd_eta04_m750_20,4,TIMEOUT,,,OK
bvg1,8,8,5.35376e-05,0.000128231,OK
bvg1_2,8,0,-1.76338e+09,1.89836e-08,OK
bvg1_3,8,0,-1.76338e+09,1.99282e-08,OK
bvg1_4,8,0,-1.76338e+09,1.87711e-08,OK
bvg2,8,1,6.51156e-05,0.000227072,OK
bvg3,8,25,0.000126125,0.000624023,OK
m2d1,8,5,8.38296e-05,0.000223062,OK
m2d2,8,1,0.000109234,0.000132716,OK
rand1,8,3,7.01119e-05,0.000165359,OK
rand2,8,5,5.43665e-05,9.05861e-05,OK
rand3,8,36,0.000196246,0.000537796,OK
rand4,8,1,0.212007,0.323703,OK
rnd_ldg1,8,1,14.265,16.6552,OK
si2_b03_m400_37,8,1,0.000606191,0.00114789,OK
si2_b03m_m800_22,8,29.9919,TIMEOUT,,OK
si2_b06m_m400_96,8,10080,0.00029,0.0308782,OK
si2_b09m_m400_01,8,0,-1.76338e+09,1.74129e-08,OK
si2_rnd_eta04_m1000_00,8,TIMEOUT,,,OK
si2_rnd_eta04_m750_20,8,29.885,TIMEOUT,,OK
