Dataset,Type,Size,Threads,TimeLimit_s,Solutions,FirstTime_s,TotalTime_s,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults,Status
roadNet,sparse,8,1,10,0,0,10,4068,55,14,246,TIMEOUT
roadNet,sparse,8,8,10,0,0,10,4172,80,3,258,TIMEOUT
roadNet,sparse,8,16,10,0,0,10,4196,100,3,259,TIMEOUT
roadNet,sparse,8,32,10,0,0,10,4168,100,3,257,TIMEOUT
roadNet,sparse,8,48,10,0,0,10,4144,80,3,256,TIMEOUT
roadNet,sparse,8,64,10,0,0,10,4180,80,3,257,TIMEOUT
roadNet,sparse,16,1,10,0,0,10,4148,100,3,257,TIMEOUT
roadNet,sparse,16,8,10,0,0,10,4144,100,3,256,TIMEOUT
roadNet,sparse,16,16,10,0,0,10,4160,80,3,257,TIMEOUT
roadNet,sparse,16,32,10,0,0,10,4132,100,3,255,TIMEOUT
roadNet,sparse,16,48,10,0,0,10,4148,100,3,255,TIMEOUT
roadNet,sparse,16,64,10,0,0,10,4180,100,3,255,TIMEOUT
roadNet,sparse,24,1,10,0,0,10,4148,80,3,253,TIMEOUT
roadNet,sparse,24,8,10,0,0,10,4228,100,3,257,TIMEOUT
roadNet,sparse,24,16,10,0,0,10,4168,100,3,254,TIMEOUT
roadNet,sparse,24,32,10,0,0,10,4072,80,3,256,TIMEOUT
roadNet,sparse,24,48,10,0,0,10,4180,80,3,256,TIMEOUT
roadNet,sparse,24,64,10,0,0,10,4068,80,3,252,TIMEOUT
roadNet,sparse,32,1,10,0,0,10,4148,100,3,252,TIMEOUT
roadNet,sparse,32,8,10,0,0,10,4260,100,3,259,TIMEOUT
roadNet,sparse,32,16,10,0,0,10,4136,80,3,253,TIMEOUT
roadNet,sparse,32,32,10,0,0,10,4088,80,3,256,TIMEOUT
roadNet,sparse,32,48,10,0,0,10,4260,100,3,254,TIMEOUT
roadNet,sparse,32,64,10,0,0,10,4240,100,3,256,TIMEOUT
roadNet,dense,8,1,10,0,0,10,4144,100,3,254,TIMEOUT
roadNet,dense,8,8,10,0,0,10,4240,80,3,256,TIMEOUT
roadNet,dense,8,16,10,0,0,10,4148,100,3,256,TIMEOUT
roadNet,dense,8,32,10,0,0,10,4152,100,3,252,TIMEOUT
roadNet,dense,8,48,10,0,0,10,4144,80,3,253,TIMEOUT
roadNet,dense,8,64,10,0,0,10,4228,80,3,255,TIMEOUT
roadNet,dense,16,1,10,0,0,10,4260,100,3,258,TIMEOUT
roadNet,dense,16,8,10,0,0,10,4260,100,3,256,TIMEOUT
roadNet,dense,16,16,10,0,0,10,4264,80,3,259,TIMEOUT
roadNet,dense,16,32,10,0,0,10,4068,80,3,258,TIMEOUT
roadNet,dense,16,48,10,0,0,10,4200,80,3,256,TIMEOUT
roadNet,dense,16,64,10,0,0,10,4244,100,3,259,TIMEOUT
roadNet,dense,24,1,10,0,0,10,4180,80,3,258,TIMEOUT
roadNet,dense,24,8,10,0,0,10,4152,100,3,256,TIMEOUT
roadNet,dense,24,16,10,0,0,10,4260,100,3,257,TIMEOUT
roadNet,dense,24,32,10,0,0,10,4068,100,3,255,TIMEOUT
roadNet,dense,24,48,10,0,0,10,4144,80,3,255,TIMEOUT
roadNet,dense,24,64,10,0,0,10,4068,100,3,255,TIMEOUT
roadNet,dense,32,1,10,0,0,10,4148,100,3,255,TIMEOUT
roadNet,dense,32,8,10,0,0,10,4144,80,3,255,TIMEOUT
roadNet,dense,32,16,10,0,0,10,4168,80,3,255,TIMEOUT
roadNet,dense,32,32,10,0,0,10,4148,100,3,257,TIMEOUT
roadNet,dense,32,48,10,0,0,10,4264,100,3,258,TIMEOUT
roadNet,dense,32,64,10,0,0,10,4148,80,3,257,TIMEOUT
